pg_num,layout,text,confidence
1,SectionHeader,chapitre 1 contenu et expression,0.9772032353140059
1,Text,"Comment entrer dans l'œuvre de Kafka ? C'est un rhizome, un terrier. Le Château a « des entrées mul- tiples » dont on ne sait pas bien les lois d'usage et de distribution. L'hôtel d'Amérique a d'innombrables portes, principales et auxiliaires, sur lesquelles veillent autant de concierges, et même des entrées et des sorties sans portes. Il semble pourtant que le Terrier, dans la nouvelle de ce nom, n'ait qu'une entrée ; tout au plus la bête songe-t-elle à la possibilité d'une seconde entrée qui n'aurait qu'une fonction de surveillance. Mais c'est un piège, de la bête, et de Kafka lui-même ; toute la description du terrier est faite pour tromper l'enne- mi. On entrera donc par n'importe quel bout, aucun ne vaut mieux que l'autre, aucune entrée n'a de privi- lège, même si c'est presque une impasse, un étroit boyau, un siphon, etc. On cherchera seulement avec quels autres points se connecte celui par lequel on entre, par quels carrefours et galeries on passe pour connecter deux points, quelle est la carte du rhizome, et comment elle se modifierait immédiatement si l'on entrait par un autre point. Le principe des entrées multiples empêche seul l'introduction de l'ennemi, le Signifiant, et les tentatives pour interpréter une œuvre qui ne se propose en fait qu'à l'expérimentation.",0.9895612620633822
1,Text,"Nous prenons une entrée modeste, celle du Château, dans la salle d'auberge où K découvre le <i>portrait</i> d'un",0.9868811074112143
1,PageFooter,7,0.9926793575286865
2,PageHeader,<b>KAFKA</b>,0.9807734063693455
2,Text,"portier à la tête penchée, au menton enfoncé dans la poitrine. Ces deux éléments, le portrait ou la photo, la tête abattue penchée, sont constants chez Kafka, avec des degrés d'autonomie variables. Photo des parents dans Amérique. Portrait de la dame en fourrure dans la Métamorphose (là c'est la mère réelle qui a la tête penchée, et le père réel qui a une livrée de portier). Prolifération de photos et de portraits dans le Procès, depuis la chambre de Mlle Bürstner jusqu'à l'atelier de Titorelli. La tête penchée qu'on ne peut plus relever apparaît tout le temps, dans les lettres, dans les Carnets et dans le Journal, dans les nouvelles, encore dans le Procès où les juges ont le dos courbé contre le plafond, une partie des assistants, le bourreau, le prêtre... L'entrée que nous choisissons n'est donc pas seulement, comme on peut l'espérer, en connexion avec d'autres choses à venir. Elle est elle-même consti- tuée par la mise en connexion de deux formes relati- vement indépendantes, la forme de contenu « tête- penchée », la forme d'expression « portrait-photo » qui se réunissent au début du Château. Nous n'interprétons pas. Nous disons seulement que cette réunion opère un blocage fonctionnel, une neutralisation de désir expé- rimentale : la photo intouchable, imbaisable, interdite, encadrée, qui ne peut plus jouir que de sa propre vue, comme le désir empêché par le toit ou le plafond, le désir soumis qui ne peut plus jouir que de sa propre soumision. Et aussi le désir qui impose la soumission, la propage, le désir qui juge et qui condamne (tel le père du Verdict, qui penche si fort la tête que le fils doit s'agenouiller). Souvenir d'enfance œdipien ? Le sou- venir est portrait de famille ou photo de vacances, avec des messieurs à tête penchée, des dames au cou enrubanné<sup>1</sup>. Il bloque le désir, il en tire des calques,",0.9896233215345811
2,Footnote,"1. Le cou féminin recouvert ou nu, a autant d'importance que la tête masculine, penchée ou redressée : « Le col cerclé de",0.9887542347113292
2,PageFooter,8,0.9969720840454102
3,PageHeader,CONTENU ET EXPRESSION,0.9646867087909153
3,Text,"il le rabat sur des strates, il le coupe de toutes ses connexions. Mais alors que pouvons-nous espérer ? C'est une impasse. Il est entendu toutefois que même une impasse est bonne, en tant qu'elle peut faire partie du rhizome.",0.9884438699968061
